customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5898-40996,Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),65.53,1517.02,Yes
3178-73874,Male,1,No,No,17,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),103.37,1757.42,Yes
8610-69682,Male,1,Yes,Yes,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),97.99,3919.14,No
9895-54200,Male,0,Yes,No,16,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,65.4,1102.07,No
3544-32970,Female,1,Yes,No,21,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,57.74,1167.86,No
6522-20895,Female,0,No,No,14,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),52.3,726.83,Yes
3370-48071,Female,0,Yes,Yes,44,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.87,4005.07,No
4281-62268,Female,0,No,Yes,26,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,37.04,968.5,No
5710-32258,Female,0,Yes,No,6,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,107.29,601.45,Yes
1328-98890,Female,0,No,No,33,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,69.58,2306.34,No
6579-67300,Female,0,No,Yes,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),27.16,1036.69,No
5228-71915,Female,1,Yes,No,27,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,73.02,1965.11,No
7794-18444,Female,1,Yes,Yes,42,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),105.74,4498.91,No
1120-85147,Female,1,No,No,27,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),84.1,2189.92,No
7749-86064,Male,0,No,Yes,45,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),54.03,2405.77,No
1964-76535,Female,0,No,No,41,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),56.36,2357.15,No
5224-13760,Female,0,No,Yes,42,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,82.44,3437.49,No
4675-46884,Male,1,No,Yes,21,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),21.58,410.43,No
6694-97477,Female,1,No,Yes,53,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),20.45,1017.04,No
3076-36022,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Mailed check,56.15,964.75,Yes
7865-64504,Male,0,Yes,Yes,18,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,87.48,1578.52,Yes
6643-53130,Female,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,40.87,182.8,Yes
9524-53881,Male,0,Yes,No,42,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,69.62,2848.9,No
6249-72399,Male,1,No,Yes,13,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,106.0,1367.24,Yes
2316-46451,Male,0,Yes,No,29,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),106.61,3102.25,Yes
2196-61413,Male,0,No,Yes,27,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),78.52,2050.28,No
4170-72278,Female,0,No,Yes,24,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,86.03,2076.22,Yes
1355-39639,Female,0,Yes,Yes,41,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),42.6,1802.38,No
1028-44621,Female,1,Yes,No,23,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),29.47,642.64,No
2013-23079,Female,0,No,Yes,40,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),88.86,3577.76,No
3024-16895,Female,0,No,Yes,16,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,19.63,364.89,Yes
9490-62142,Male,0,No,No,35,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),42.57,1542.95,No
6839-22552,Male,0,Yes,No,37,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,102.39,3786.62,No
6791-58821,Female,0,No,Yes,34,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,54.63,1828.91,No
1754-43630,Male,1,No,No,21,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),21.32,458.25,No
9961-80063,Female,0,Yes,Yes,12,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),57.95,735.77,No
4735-22247,Female,0,Yes,Yes,39,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,30.58,1107.94,No
2238-27603,Male,0,Yes,No,44,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),87.35,3814.57,No
2906-55564,Male,0,Yes,No,26,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,66.64,1819.1,No
8399-10527,Female,0,No,No,10,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),67.24,694.77,No
8961-66521,Male,0,No,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,37.66,465.78,Yes
5601-78458,Female,0,Yes,Yes,56,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,86.25,4797.95,No
2460-15849,Female,0,No,No,30,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,86.71,2581.97,No
8669-60314,Female,0,Yes,Yes,12,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,85.88,1065.62,Yes
2416-55724,Male,0,No,Yes,28,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,116.62,3295.15,Yes
